City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,sinop,41.7711,34.8709,16.7,68,4,1.69,TR,1722976320
264,vacha,55.8008,42.7706,14.7,96,70,1.72,RU,1722976320
265,uray,60.1247,64.7758,14.85,67,100,3.48,RU,1722976321
266,karratha,-20.7377,116.8463,17.96,49,3,2.64,AU,1722976321
267,road town,18.4167,-64.6167,32.05,66,40,4.12,VG,1722976321
268,brokopondo,4.75,-55.1667,28.03,74,82,3.93,SR,1722976321
269,ordynskoye,54.3656,81.8994,15.04,93,18,2.52,RU,1722976321
270,okhotsk,59.3833,143.3,10.37,87,100,4.35,RU,1722976321
271,todi,42.7799,12.4046,27.01,67,41,1.77,IT,1722976321
272,saint-philippe,-21.3585,55.7679,19.77,74,35,2.02,RE,1722976321
273,qamdo,31.1667,97.2333,8.09,76,100,1.45,CN,1722976321
274,medicine hat,50.0501,-110.6683,19.55,66,100,4.12,CA,1722976201
275,onguday,50.75,86.15,10.47,88,44,1.07,RU,1722976322
276,kristiansund,63.1115,7.732,19.36,89,0,2.06,NO,1722976322
277,ankang,32.68,109.0172,24.66,92,32,0.86,CN,1722976322
278,usinsk,65.9939,57.5281,8.12,69,5,5.44,RU,1722976322
279,sovetskiy,61.3614,63.5842,12.84,69,100,3.57,RU,1722976322
280,revda,56.801,59.9303,13.02,100,51,1.59,RU,1722976322
281,yanchep,-31.55,115.6833,17.19,91,99,10.85,AU,1722976322
282,manziana,42.1321,12.1264,26.77,87,0,1.23,IT,1722976322
283,holma,9.9008,13.0567,21.13,94,97,0.7,NG,1722976322
284,vrangel',42.7297,133.0839,21.2,96,99,1.73,RU,1722976322
285,lata,40.1629,-8.3327,20.04,98,81,1.41,PT,1722976323
286,jamestown,42.097,-79.2353,21.96,100,100,3.6,US,1722976323
287,sayat,38.7839,63.8803,29.93,16,0,6.61,TM,1722976323
288,turpan,42.9333,89.1667,35.13,19,100,3.92,CN,1722976323
289,tsiombe,-25.3,45.4833,20.28,74,61,4.21,MG,1722976323
290,ugoofaaru,5.6667,73.0,27.85,79,100,4.4,MV,1722976323
291,el alto,-4.2714,-81.2147,22.81,71,11,10.09,PE,1722976323
292,selfoss,63.9331,-20.9971,12.8,84,94,3.06,IS,1722976323
293,romny,50.751,33.4747,19.24,60,98,2.61,UA,1722976323
294,baiti,13.745,-14.7482,25.27,91,76,4.79,SN,1722976323
295,tra mhor,52.1624,-7.1524,15.61,72,26,3.58,IE,1722976324
296,sola,-13.8833,167.55,24.92,65,19,10.94,VU,1722976324
297,anadyr,64.75,177.4833,4.28,80,100,6.0,RU,1722976324
298,el granada,37.5027,-122.4694,32.16,52,0,5.14,US,1722976324
299,walvis bay,-22.9575,14.5053,12.83,94,39,1.8,NA,1722976324
300,kasempa,-13.4584,25.8338,18.23,21,0,2.65,ZM,1722976324
301,mungwi,-10.1732,31.3694,14.86,34,0,2.34,ZM,1722976324
302,petropavlivka,48.4564,36.4367,19.53,58,58,2.33,UA,1722976324
303,mahanje,-9.9333,35.3333,14.75,40,4,1.47,TZ,1722976324
304,piti village,13.4626,144.6933,27.03,92,0,0.0,GU,1722976324
305,kenai,60.5544,-151.2583,16.05,96,100,3.6,US,1722976324
306,rio preto da eva,-2.6994,-59.6997,35.37,30,100,1.52,BR,1722976325
307,point pedro,9.8167,80.2333,27.11,84,100,4.3,LK,1722976325
308,richards bay,-28.783,32.0377,18.52,68,0,4.92,ZA,1722976325
309,wamba,8.9333,8.6,22.52,94,100,1.73,NG,1722976325
310,krumovgrad,41.4667,25.65,25.02,49,1,1.82,BG,1722976325
311,severomorsk,69.0689,33.4162,10.22,52,4,3.44,RU,1722976325
